author,text,likes,time,replies
,"https://neetcode.io/ - Get lifetime access to all current & future courses I create!

Btw this is the question I asked: https://leetcode.com/problems/insert-delete-getrandom-o1/

We actually solved it on the channel here:",117,2024-11-07 23:18:39,0
@Dulandor,"""If there is a problem, just throw a hashmap at it.""
- someone really smart",0,2024-11-07 23:18:39,0
@hariharanm9930,Hey Neetcode! I got the exact same question on my Adobe interview two days ago. Luckily I have been practicing from your collection of questions last few months and never missed any of your videos. I bagged my offer today!! You have literally made this happen for me. Can’t thank you enough for this day!,0,2024-11-07 23:18:39,0
@tusharvyavahare9229,"for python folks, removing an item from set, which isn't in the set , using remove() method will result in error, so use  discard() method.",680,2024-11-07 23:18:39,0
@free-palestine000,"please record more of these google mock interviews!! this questions seem so easy initially, but watching how frypan is talking aloud and saying his thought process makes me realize how the little details he says is actually valuable to you (neet) as the interviewer. now i realize why i failed my interviews so much",0,2024-11-07 23:18:39,0
@nikhil_a01,"I find it funny that when he googled for how to get an arbitrary element from a set, he actually found Java code, and pasted it into his Python solution. And NeetCode is just like ""great"".",0,2024-11-07 23:18:39,0
@BTC500k,"“In your real interviews, do you talk the same way..?” LMAO that is the question I wanted to ask lol",0,2024-11-07 23:18:40,0
@Protocoding,"Things I'm starting to realize every developer needs to do during an interview. Ask tons of questions before even thinking about coding, even if they seem obvious. If the easiest way to think of a question is in one-time complexity odds are they are hinting at the complexity they want in the description of the question.",165,2024-11-07 23:18:40,0
@willboler830,"Gah, what people watching this might be missing out on is the anxiety, and the difficulty between coding and talking through the code.  I sat here correcting him as he went, but also remembered how much I stumbled over trivial stuff.  It's so nerve racking.",143,2024-11-07 23:18:40,0
@SankarshanGhosh,"This is the first time I watched a 40 minute video. Real fun, we want more of these!",99,2024-11-07 23:18:40,0
@dacattilearnsenglish3141,"There were 4 people in my coding interview a few months ago. They were quite friendly with me, though. I had to code C++ in MS Word, which was a pain the neck. Even the easiest questions become hard because of tension. In addition to that, time flies when you are under pressure because you are trying to come up with an answer in your head and trying to word it properly.",30,2024-11-07 23:18:40,0
@Neilblaze,"Been watching Mock interview sessions for a long time, but this is by far the most enjoyable session for my all time :)",98,2024-11-07 23:18:40,0
@krovvidisupraja6822,Thanks so much @NeetCode for doing this. I think this video is pretty realistic (except for the way @FryingPan talks ) compared to the other mock interview videos online! Helped me relate a lot being an interviewee. Looking forward to more such videos!! Keep inspiring with your good work,102,2024-11-07 23:18:40,0
@Suraj-tz3oq,"""i have ocd and this is pissing me off""
My interviewer: get tf out then",73,2024-11-07 23:18:40,0
@rajingale5776,"The collab we waiting for..
The only 2 coding channels i subscribed and getting that collab is awesome..",66,2024-11-07 23:18:40,0
@atharvagupta9355,"This interview made me realize that I can do it too. Thanks, Neetcode",24,2024-11-07 23:18:40,0
@marspark6351,"Theres something neither of you caught. When you remove elements from the set that keeps track of indices and when there's only one element in the set, you are left with an empty set. What you want is to get rid of the map entry altogether. So you should check if it's the last element, and if it is, del that entry.

Also, he mentions changing to a set instead of an array because when he chose the array first, he was using the first index and then he probably thought ""wait.. now if I delete the first index I have to shift all the remaining ones to the left"". Well actually you can simply use the last one instead of the first by using ""pop"", and so you can still use the array",141,2024-11-07 23:18:40,0
@jasonswift7468,This is a really inspring mock interview. Learn a lot from this standard mock interview. Please upload more similar interviews including system design mock interview.,21,2024-11-07 23:18:40,0
@SanjanaSingh-mc6re,Can we get more interviews like this one? It was really helpful. Thanks!!,32,2024-11-07 23:18:40,0
@LeSpaceCroissant,"My man was coding in Python and searched how to get the first element of a set in Java. Genius. And he said it so confidently too: ""I got it sir! I got it!"" 39:25  
It's ""next(iter(mySet))"" by the way. 
And thank you for the video, it was really nice!",7,2024-11-07 23:18:40,0
@tedwoldeselassie5715,"I would implement the Get(bool random, Enum<DataType> input) first, then when implementing the Insert, pass each iteration to Get() with random false. If it returns a value then dont insert it as its duplicate. To get random you jusst need to set random to true. Then the remove is straight forward.",4,2024-11-07 23:18:40,0
@applepine3172,"17:55 When he realized what's the right way, and you see the smile, that's why we love programming.
That's why ones, who think ""I want to be a programmer because it means I get a lot of money"" always fail. Whoever loves this, feel fun when programming is always the one who reaches his goal.",3,2024-11-07 23:18:40,0
@supastazz,"That adding array to value for duplicate values was amazing, always had that doubt but I found the answer today. Thank you for the post",4,2024-11-07 23:18:40,0
@yitongxie6574,the last part you ask 'do you talk like this in real interview?' and then 'nothing' really make me laugh,19,2024-11-07 23:18:40,0
@MrPkmonster,That's cool. I've learned a lot during the Mock test interview. Understand deeply the way the interviewer asked the candidate and the way of thinking to solve the problem.,13,2024-11-07 23:18:40,0
@Ripred0219,The snarky comments while Neetcode remained mute was hilarious,19,2024-11-07 23:18:40,0
@jonTheDon28,None of my coding interviews for internships have been anywhere near this easy,22,2024-11-07 23:18:40,0
@chair_smesh,You mentioned that you don’t actually use Google docs for coding interviews? What do you use a Google IDE? How do you draw out solutions on a Google online interview?,8,2024-11-07 23:18:40,0
@brainesteven6365,"in the 30:28, the follow up question is to allow array to store duplciate. The follow up seems  to be simplified, in general, it may ask while allowing to store duplicate values, what is to make each number to has the same probility in getRandom(say 1,2,2,2,2,2,3), 1 and 2 and 3 has the same 1/3 probility to be returned.",0,2024-11-07 23:18:40,0
@axaxaxaxaxaxax33,"the collab i didnt know i need  frying pan is too funny lol. Great hint from Neetcode too, just enough to nudge him into revelation",31,2024-11-07 23:18:40,0
@mattiapalmese2971,"i'm not really sure about that but inserting in a hashmap, will, at some point, result in a reallocation of the elements, since under the hood you store the elements inside an array indexed using a hash function. Usually you allocate more space when you have the array half full or 3/4. A data structure with an array that has a little buffer and gets reallocated when half full will get you the same time complexity, i suppose.
Also when deleting, yes, when you delete an element from the end of the array you don't need to push elements around to fill a void, but you still retain that memory. After some delete operations you would want to release that memory by realloc-ing everything in a smaller array and freeing the old memory.",1,2024-11-07 23:18:40,0
@YSTYG,I thought we were about to get a face reveal,164,2024-11-07 23:18:40,0
@jemanuelg99,Im not sure if the rudeness was real or satirical. I’m not sure if being rude to the interviewer is a great strategy.,22,2024-11-07 23:18:40,0
@utsabkhakurel9742,"In the follow-up, you could have just chosen the last element from the list to swap self.map[value][-1] and used pop() to remove it after the swap.",5,2024-11-07 23:18:40,0
@jose6378,Unironically got a very similar question for Amazon SDE position,5,2024-11-07 23:18:41,0
@harryshi1,"love the concept, if you need another person to mock interview I would be happy to do one. I am an ex Quant trader now studying for algo / CS jobs.",6,2024-11-07 23:18:41,0
@chengyuanchang4000,"The code in follow up has a bug...
In the remove function, when the size of self.map[value] equals to zero, we need to delete the empty set like `del self.map[value]`. 
Otherwise, next remove call for same element will cause an error.",9,2024-11-07 23:18:41,0
@negarvahid,"Bro why didn't you upload this sooner I had my interview yesterday :,)",3,2024-11-07 23:18:41,0
@MikeKm-hd1ve,Priceless video!! Thank you so much!!,0,2024-11-07 23:18:41,0
@janni7439,"Those sort of questions are a little bit odd, because the ""reduce complexity"" always boils down to the data structure behind and there basically a lot of useful stuff was already invented, so you wouldnt hire someone, who can recreate such a structure from scratch, because that's totally not part of the daily business.",4,2024-11-07 23:18:41,0
@k.i.r.a_619,This guy is total tech lead material,21,2024-11-07 23:18:41,0
@JoaoPereira-if5jk,"Awesome video!
Quick question:
What's the point of changing the last item of the array to the value to be deleted if you're just going to pop it anyway? Can't we just remove that extra step?",3,2024-11-07 23:18:41,0
@atalaramadhan9313,The collab I was waiting for years. You guys are prob my fav swe youtubers,4,2024-11-07 23:18:41,0
@karanbhatia2834,This was like actually really awesome. I felt like I was solving the problem with him!,4,2024-11-07 23:18:41,0
@FaberLSH,Awesome. I learned so much about how a coding interview looks like. Thank you!!,0,2024-11-07 23:18:41,0
@user-fp4dr1ne7z,"But for real, if you act like him in an interview, how would the interviewer view that? Is he being cocky? Or is that confidence? I understand he’s being semi sarcastic because that’s his YouTube persona. But I know there are people who actually act like this in interviews and I wonder how it’s received by the interviewer.",27,2024-11-07 23:18:41,0
@SankHar4,Neet code Please do conduct whenever possible it helps the everyone a lot of Learning. Thank you so much...,1,2024-11-07 23:18:41,0
@srinadhp,"Invigorating! Great questions all around, even greater thoughts and solutions!",1,2024-11-07 23:18:41,0
@heatchecknyc2142,Enjoyed this video so much i watched on both your channels. Can you make a series of this?,0,2024-11-07 23:18:41,0
@varshasingh1299,Big fan of neetcode ️ just want to thank for all the amazing content you post in your channel... Thank you  love from India,10,2024-11-07 23:18:41,0
@chrisrey2516,i was able to come up with similar solution. I'm happy lol. I was thinking along with him,2,2024-11-07 23:18:41,0
@domchiu,"There is an obvious bug when the value we are going to remove is equal to the last element in values list, in which case adding the index before removing will end up losing the index.",1,2024-11-07 23:18:41,0
@christianmorera4127,"I love this, frying pan makes coding interviews fun",5,2024-11-07 23:18:41,0
@5pellcast3r,The collab I didn't know I needed .....,5,2024-11-07 23:18:41,0
@nacereddinebenmerah3538,"9:45 
Being someone that first learned about lists in C, removing and adding was truly something, seeing this makes me have high hopes in my future coding career lol.",0,2024-11-07 23:18:41,0
@jagadeeshkumar7724,Frying pan is hilarious though he is not explicitly trying to make fun of the situation.,37,2024-11-07 23:18:41,0
@yashagrawal8352,"Honestly speaking this was looking easy, do interview of FAANGS are really this way ?",0,2024-11-07 23:18:41,0
@木漏れ日-v9n,"This is a great interview question. Easy to understand, lots of tradeoffs.",0,2024-11-07 23:18:41,0
@RaghavRathi-qb8fr,This is prolly the best channel out there for ds algos!!!,0,2024-11-07 23:18:41,0
@basma-ba,"So useful and so fun session. thank you for this video, it relaxes me somehow while hearing the layoff news",5,2024-11-07 23:18:41,0
@salvadorortiz449,"Something important is the use of descriptive names for your variables, because in this case without any previous context you won’t figure out what’s the function of “map” or “values”variables.",7,2024-11-07 23:18:41,0
@Silverne_Capricorne,"Why not directly using a list, am I missing something?

class ElementManager:
    def __init__(self):
        self.elements = []

    def add_element(self, element):
        if element in self.elements:
            return
        self.elements.append(element)

    def remove_element(self, element):
        try:
            self.elements.remove(element)
        except ValueError:
            print(f""Element '{element}' not found."")

    def get_random_element(self):
        if not self.elements:
            return None
        return random.choice(self.elements)",1,2024-11-07 23:18:41,0
@bit-learn,"please @NeetCode if your are watching .. so on the first part my approach was to solve everything through set as set gives everything like adding, remove with num and generating a random number from set (we can add it again on the next line) plus on the second part where duplicates are allowed .. we can change it to hashmap so that on removing if the values aren't zero we can just remove the iteration count of the numbers or pop the number otherwise when iteration count goes 0.
need help in clarifying it .. thanks for experience though",0,2024-11-07 23:18:41,0
@house0795,"Awesome, more of that would be highly appreciated",1,2024-11-07 23:18:41,0
@creamymain7867,"Love the ""Now let me ask you another question"" at the beginning haha. Very inciteful video btw",0,2024-11-07 23:18:41,0
@techhoseki,"By the way, his original solution was great. 
We could still use a set, to insert and remove in O(1). As for the get_random method, he should have used 'random.randint(0, len(self.values)-1)' to get  a random index and then get it using self.values[index].",1,2024-11-07 23:18:42,0
@ztrixx3280,this was really informative and fun at the same time.   thanks NeetCode.,0,2024-11-07 23:18:42,0
@hasson2349,"Need more like that, awesome!",0,2024-11-07 23:18:42,0
@Y2B123,Should we delete empty value-indices pairs from the map as we are removing? It seems to me that leaving empty sets around not only waste space but also breaks the if statement above.,8,2024-11-07 23:18:42,0
@denhoward6438,"Nice video, I can feel the pressure of the interviewee by his word and face",0,2024-11-07 23:18:42,0
@andreainvernizzi8510,"So many headaches to end up in a cubicle Monday to Friday. 
May as well deploy this knowledge to develop independently and get all the benefits.",1,2024-11-07 23:18:42,0
@emmad-ul4tn,"I find it pretty demoralizing how people are saying this is way too easy, I thought it was difficult",1,2024-11-07 23:18:42,0
@TiagoDiass2,"amazing content guys, loved it!",0,2024-11-07 23:18:42,0
@MightyElemental,"got my first interview on wednesday and this video equally relaxes and terrifies me 
Trouble is I cannot think aloud. I can think, then explain, but that takes more time. Hopefully not an issue, but we shall see",0,2024-11-07 23:18:42,0
@davidkolesom,Love this Mr. Neet Code!,1,2024-11-07 23:18:42,0
@DogeCharger,I've been working as a software developer and I have had to make use of a hash map exactly once in my life,0,2024-11-07 23:18:42,0
@grandpy7924,"import random

class data_set(list):

    def append(self, __object):
        if __object in self:
            return
        return super().append(__object)

    def remove(self, __object):
        if __object not in self:
            return
        return super().remove(__object)

    def getRandom(self):
        return random.choice(self)",0,2024-11-07 23:18:42,0
@yulius5916,"39:37 “bet you didn’t know that!”
LMAO",3,2024-11-07 23:18:42,0
@VPASWINKUMAR,"Why can't use a dictionary,
Class op:
   Def __init__(self):
         Self.dic = {}
   def insert(self,val) :
          self.dic[val]=val 
   def remove(self,val):
           Del self.dic[val]
 Def random(self, val):
      Return randomchoice(self.dic.values())

Just ignore the capitals, all the function have constant time .whether this is crt",0,2024-11-07 23:18:42,0
@imbes64,"pretty decent easy-med level q to ask, will use in my own new hire interviews as it makes for good discussion!",2,2024-11-07 23:18:42,0
@myrtiy,Neetcode’s code is neat! Thank you Neetcode!,0,2024-11-07 23:18:42,0
@pokatana4130,Nice video. Love to see more so I can prepare.,0,2024-11-07 23:18:42,0
@flothus,"Good parts: 
Asked good questions. Voiced thought process. Provided good test cases. Could recover from bugs. Could make use of hints.  Solved the assignment.

Not so good and red flags:
Too focused on how to ace the coding part instead of making a good impression as a team player. Some unnecessary code. 
Raised voice and tried to school the interviewer to cope with pressure. 
Didn't act humble and didn't seem very interested in reflection after the interview, instead was more interested in competition and returning a ""hard"" question.   
Also foul language and improvable attitude and composure. Might be just acceptable in a youtube interview but would have been much better without that!
Thanks to both for the video!",5,2024-11-07 23:18:42,0
@cowaiicow8802,I never thought i needed this collab until now...,6,2024-11-07 23:18:42,0
@madebyut,Hiring a cocky person is quite dangerous no matter how smart they are.,13,2024-11-07 23:18:42,0
@diobrando89,this problem seems way too easy for a an interview even in a small it company,4,2024-11-07 23:18:42,0
@Adham-gh1pg,"Theres no need for a map the set was fine. He just needed an array where he would add [0,1, 2... etc to it every time a value is inserted and he can make sure that hes not inserting a duplicate by checking if the value is in the set to begin with which also takes O(n) and when he comes to do the get random he passes in the list of indexes [0,1,2...,n] (n being the length of the set) and then he can get the random from the set by doing set[result of random]. Let me know if this makes sense to anyone.",0,2024-11-07 23:18:42,0
@saurabhgambhire-v4o,"Funniest, energetic interview I have ever seen , I want confidence like this",2,2024-11-07 23:18:42,0
@protodimbo,"42:27 i'm dead  Neetcode, thanks for the video, i want to be smart like you",3,2024-11-07 23:18:42,0
@abhishekgarg8769,"Saw this Video yesterday, got random recommendation and today i got this question on leetcode daily challenge question, i was shocked about it but the explanation was so good i did the question in one go",2,2024-11-07 23:18:42,0
@govindbanura3327,"I feel that moment when you said ""do you really talk like this in real interviews"" and he replied ""what's wrong with how I talk""

Your reaction was ""nothing""  I felt that man",26,2024-11-07 23:18:42,0
@GinjouArmy,Glad I could follow along with the code on the white Goggle Doc.,0,2024-11-07 23:18:42,0
@kiki-potato,disqualified for cheating love how calm NeetCode is,1,2024-11-07 23:18:42,0
@isaiahparadiso8044,"Pro tip to people interviewing.  Don’t talk like this guy. Don’t swear.  Don’t quiz the interviewer.  Finding the optimal solution is a must, but they’re also deciding if they want to work with you.  Some crude banter can give the wrong signal, and there’s zero advantage to you in risking it.  Be polite.  Don’t be cocky.  Every grading rubric has score around cultural and team fit.  Just FYI.",29,2024-11-07 23:18:42,0
@koch9666,"Omg that was so fun I really enjoyed the vid and it's perfect too because I have a final round coding interview later this week! You guys should collab more often, that would be such good content!",9,2024-11-07 23:18:42,0
@ChoiVibess,"Idk if he knew this, but he could just store the numbers in a dictionary by converting it into a str using the random choice on it. If it does the random choice in the dictionary, it would take only the keys as the list and get a random str number",0,2024-11-07 23:18:43,0
@paulofelipe2780,"Another important question that could have been asked is the range of possible values to be inserted, it can influence a lot the final solution complexity!",0,2024-11-07 23:18:43,0
@崔雅青-s5j,"Thanks for sharing~ I love your mock interview~~~ 
Thanks for helping people~",0,2024-11-07 23:18:43,0
@chenbi5258,"OMG, very impressed by this solution.",0,2024-11-07 23:18:43,0
@cenchang3765,So funny. I am still struggling with leetcode by just finishing the first 200. And I did not have much interview experience. The video makes me feel like we are all human beings.,1,2024-11-07 23:18:43,0
@mpi3602,I think the end solution doesn't consider removing a value from a map that has only one index,3,2024-11-07 23:18:43,0
@mahioocode,WOW being a weirdo does not stop u from getting hired!! keep it tight!!,3,2024-11-07 23:18:43,0
@annawilson3824,0:16 ever since I failed my last Citadel interview ...,5,2024-11-07 23:18:43,0
@girrajjangid4681,Can't we just use HashMap (Dict). To store input as key and value as 1. Insertion/Deletion is O(1). And keeping to count of how many elements got inserted to find random.choice???,5,2024-11-07 23:18:43,0
@ASMR_TODAY_TOMORROW,This is a very easy problem though?,0,2024-11-07 23:18:43,0
@Qader112,"I have a question. 
Why not just use one dictionary to insert delete and get random. Why do we have to use an array as well?
for the dictionary, the key will be the element and the value will be the total number which should be no more than 1.",1,2024-11-07 23:18:43,0
@Sayan_Shankhari,this is called using an army tank to kill a mosquito,3,2024-11-07 23:18:43,0
@palateo93,"The remove(self, value) function doesn’t work because of 2 errors: one logical error and one syntax error
He is removing the value of the set self.map[last_val] he just added.
The syntax error is with the self.map[last_val].remove() function that requires the value to remove and not the position because sets don’t allow to remove values by index.

Please correct me if I’m wrong, I’m still learning ️",1,2024-11-07 23:18:43,0
@c_hlee,I've 100% coded in Google Docs for Google interviews before. It was painful. I turned off the auto-correct settings right away,1,2024-11-07 23:18:43,0
@CarInLot,Love this new content.,0,2024-11-07 23:18:43,0
@danielkofiboadu,I am happy to know I almost guessed all the approach correctly!!,1,2024-11-07 23:18:43,0
@charloteelo,i just found this channel and found it interesting. Are we supposed to say whats in our mind during live coding session like this?,0,2024-11-07 23:18:43,0
@mr.rodzhers8663,"Well shown who is a front-end developer, thanks",0,2024-11-07 23:18:43,0
@lightyagami7488,Dude is interviewing the interviewer,2,2024-11-07 23:18:43,0
@showbhik9700,"Hey, Neetcode! 

Lovely video. Just want to say your videos helped me a lot during my interview prep for Google. While I couldn't make it there, I definitely learnt a lot. 

PS: I work with Amazon now",7,2024-11-07 23:18:43,0
@charminghostes,"hey hey dude, thanks for the vidos!! now a cool mood for the whole day :)))",0,2024-11-07 23:18:43,0
@a3393962,I code in google doc for two rounds in google internship interview last year ... really painful.,1,2024-11-07 23:18:43,0
@yongfulu8984,I know I know. It’s LC 380,3,2024-11-07 23:18:43,0
@Ayush-c2v1c,You can also learn through free code camp and gfg,0,2024-11-07 23:18:43,0
@ggs137,Don’t understand a lick of code as I am a networking major (just getting into py) but watched the whole thing very interesting!,0,2024-11-07 23:18:43,0
@sriharisrinivasan5108,how did I get this recommended just before the daily leetcode question became this today,0,2024-11-07 23:18:43,0
@USNSWE,I’m about 18 minutes into the interview and my first thought was to just use a Set. A set is unordered and has O(1) time complexity for insertion and removal. Does this data structure not hit all the criteria of what he’s asking for?,2,2024-11-07 23:18:43,0
@louishauger3057,U can just return a random number in range of the index and return the value at that index,0,2024-11-07 23:18:44,0
@rjlacanlaled9419,"I'm actually him during my interviews  Its easy to figure out solution when you're not under pressure, but in actual interviews there's so many things that can happen and the anxiety can get to you and affect your performance.",0,2024-11-07 23:18:44,0
@DevWooin,"42:25 It said 'This is when I decided to reject him'. But why NeetCode tell him that 'I would definitely give you hire' in 45:45?  FYI, I am Korean not good at Eng.",1,2024-11-07 23:18:44,0
@INDNICK,I like how he said using google docs is stupid and it pisses me off in an interview,1,2024-11-07 23:18:44,0
@yhiawaill5863,im still a bit of a newbie but isnt this question a bit too easy?,5,2024-11-07 23:18:44,0
@AbhishekGupta-rj4os,bro was interviewing the interviewer,2,2024-11-07 23:18:44,0
@Jayveersinh_Raj,"I do not know why he still needed the map to store indices when Duplicates were allowed, the only use of the map was to check for duplicates to get it in a constant time, if duplicates were allowed, you no more need it, space complexity saved, and the problem is solved as usual, I feel like it was made complicated when he decides to add the array of indices to the map while he was not explicitly asked to.",0,2024-11-07 23:18:44,0
@filipee05,"Would interviewers be more impressed if YOU implement methods like pop(), append(), iterator().next(), etc... and not use the already integrated ones?

Nice video btw :)",1,2024-11-07 23:18:44,0
@gnes04,Ngl I thought he'd do a lot better for a meta intern. The first question was easy as balls,5,2024-11-07 23:18:44,0
@sajitullahkhan,Bro please make more these kind of coding interview videos,0,2024-11-07 23:18:44,0
@pabloh.7536,This is so clutch. I have a Google interview in 2hrs,1,2024-11-07 23:18:44,0
@eddyelamin9015,Do interviews actually go like that? i started solving in javascript following  a long and was happy i did good,1,2024-11-07 23:18:44,0
@ilovemeee21,More of these please !!!!!,0,2024-11-07 23:18:44,0
@johniedoeee,"There will no be a fair random normal distribution because of duplicates inside a list of values. 
To solve this I suggest to use binary search over a sorted list list.",0,2024-11-07 23:18:44,0
@Nick-zw7gg,Google and Meta are extremely bloated with bad software engineers,2,2024-11-07 23:18:44,0
@ramesh_hegde,"From the speaking tone, seems like Intern is taking interview of Neetcode",2,2024-11-07 23:18:44,0
@Noah-357,"Bro, if these types of questions are asked, everyone would get hired. It's the same as one of my college hw in c++.",0,2024-11-07 23:18:44,0
,HIRE ME,21,2024-11-07 23:18:44,0
@saveuyghurmuslims2354,man plz do more and more hard and prefessional plz plz we need this.,0,2024-11-07 23:18:44,0
@jason4494,why not use a linked list,1,2024-11-07 23:18:44,0
@adennis200,"Haha, i dont think any interviewee would ask questions like that.
It is obvious that its done by him on purpose to kinda make it more educational for the viewers",1,2024-11-07 23:18:44,0
@vill2980,started my journey... and I just saw someone suffer through autocapitalization in making code,1,2024-11-07 23:18:44,0
@ProfB27,"I think we should use doubly LL to store the elements and hash map to store key as number itself and reference of the element as value. Removing adding, checking existence all are O(1), get random will now have list of keys.",3,2024-11-07 23:18:44,0
@girrajjangid4681,Thanks you @NeetCode.,0,2024-11-07 23:18:44,0
@idontseeit,"could you use 2 hash maps? one that maps values to indexes, and one that maps indexes values? that way we can just generate a random integer from the index hash map and use that to get the corresponding value from the value hash map",0,2024-11-07 23:18:44,0
@jackfrost8969,this was actually a very simple question,0,2024-11-07 23:18:44,0
